WSA	FN	North	PD	Dist	Elev	Inc	lnPD	lnDist	lnInc
1.0	0	1.0	0.083	9.877	24.0	25.197	-2.4889147	2.2902088	3.2267249
1.0	0	1.0	0.044	0.383	20.0	25.197	-3.1235657	-0.9597203	3.2267249
0.0	1	1.0	0.78	12.164	19.0	25.197	-0.2484614	2.4984808	3.2267249
0.0	0	0.0	0.044	15.472	38.0	21.579	-3.1235657	2.739032	3.0717206
0.0	0	0.0	0.066	17.7	29.0	21.579	-2.7181005	2.8735647	3.0717206
0.0	0	0.0	5.491	17.867	10.0	25.258	1.7031105	2.8829556	3.229143
0.0	0	0.0	0.065	7.186	32.0	25.258	-2.7333682	1.9721347	3.229143
0.0	0	0.0	0.064	9.648	18.0	25.258	-2.748872	2.2667506	3.229143
0.0	0	0.0	0.062	11.084	26.0	25.258	-2.7806208	2.4055026	3.229143
0.0	0	0.0	6.144	22.432	13.0	25.258	1.8154761	3.1104884	3.229143
0.0	0	0.0	0.123	8.704	16.0	25.258	-2.0955708	2.1637828	3.229143
0.0	0	0.0	9.707	9.85	12.0	25.258	2.2728472	2.2874715	3.229143
1.0	0	0.0	0.168	1.014	17.0	25.258	-1.7837913	0.013902962	3.229143
0.0	0	0.0	0.89	5.896	15.0	25.258	-0.11653383	1.7742741	3.229143
0.0	0	0.0	0.044	2.096	18.0	25.258	-3.1235657	0.74003077	3.229143
0.0	0	0.0	0.829	6.938	14.0	25.258	-0.18753512	1.9370136	3.229143
0.0	0	1.0	5.48	51.694	17.0	23.509	1.7011051	3.9453418	3.1573834
0.0	0	1.0	1.714	5.509	31.0	23.509	0.5388298	1.7063831	3.1573834
0.0	0	1.0	0.067	1.097	21.336	23.509	-2.7030625	0.092579186	3.1573834
0.0	0	1.0	0.005	0.611	30.0	23.509	-5.2983174	-0.49265832	3.1573834
0.0	1	1.0		8.512	32.0	23.509		2.1414769	3.1573834
0.0	1	1.0	0.231	8.825	20.0	23.509	-1.4653375	2.1775885	3.1573834
0.0	0	1.0	2.861	23.347	32.0	22.111	1.0511712	3.1504686	3.0960753
1.0	0	1.0	0.103	2.079	26.0	22.111	-2.2730262	0.731887	3.0960753
0.0	0	1.0	4.364	7.944	20.0	22.111	1.473389	2.0724168	3.0960753
0.0	0	1.0	2.645	22.431	34.0	22.111	0.97267103	3.1104438	3.0960753
0.0	0	1.0	0.149	5.996	27.0	22.111	-1.903809	1.7910925	3.0960753
0.0	0	1.0	0.322	8.684	23.0	22.111	-1.1332037	2.1614823	3.0960753
0.0	1	1.0	0.061	19.432	22.0	22.111	-2.7968814	2.966921	3.0960753
0.0	1	1.0	0.049	2.19	20.0	22.111	-3.015935	0.7839016	3.0960753
0.0	1	1.0	0.037	19.909	20.0	22.111	-3.2968373	2.9911718	3.0960753
0.0	1	1.0	0.013	24.309	22.0	22.111	-4.342806	3.1908467	3.0960753
0.0	1	1.0	0.016	23.533	20.0	22.111	-4.1351666	3.1584036	3.0960753
0.0	0	1.0	0.029	1.96	20.0	19.894	-3.5404594	0.6729445	2.9904182
0.0	0	1.0	0.045	2.722	20.0	19.894	-3.1010928	1.0013669	2.9904182
0.0	0	1.0	0.04	2.265	23.0	19.894	-3.218876	0.8175748	2.9904182
0.0	0	1.0	0.055	0.986	23.0	19.894	-2.900422	-0.014098923	2.9904182
	0	1.0	0.026	1.867	23.0	19.894	-3.6496587	0.62433285	2.9904182
0.0	0	1.0	1.754	10.693	19.0	19.894	0.5618989	2.3695893	2.9904182
0.0	0	1.0	0.003	3.826	20.0	19.894	-5.809143	1.3418199	2.9904182
0.0	1	0.0	0.08745535	15.106	18.130898	22.13976	-2.436627	2.715092	3.0973752
0.0	1	1.0	0.533	5.475	20.0	19.894	-0.6292339	1.7001922	2.9904182
0.0	1	1.0	0.078	4.482	25.0	19.894	-2.5510464	1.5000694	2.9904182
0.0	1	1.0	0.058	6.826	18.0	19.894	-2.8473122	1.9207389	2.9904182
